# millisec, uSv/h, CPS, CPM, Temp, Alt, roll, pitch, heading, x_accel, y_accel, z_accel, balloonstate
# millisec, uSv/h, CPS, CPM, Temp, Alt, roll, pitch, heading, x_accel, y_accel, z_accel, balloonstate
154982,  6.44,  0,  1130, 24.40, 30.35, -88.61, -0.46, -97.09, 0.08, -9.69, 0.24, 1
155978,  6.44,  0,  1130, 24.40, 30.18, -88.83, -3.97, -89.37, 0.67, -9.61, 0.20, 1
156973,  6.43,  0,  1129, 24.40, 30.10, -89.30, -0.70, -97.47, 0.12, -9.57, 0.12, 1
157969,  6.45,  3,  1132, 24.40, 29.77, -89.77, 0.23, -99.04, -0.04, -9.73, 0.04, 1
158965,  6.45,  1,  1133, 24.40, 29.68, -88.36, -0.47, -96.03, 0.08, -9.61, 0.27, 1
# millisec, uSv/h, CPS, CPM, Temp, Alt, roll, pitch, heading, x_accel, y_accel, z_accel, balloonstate
587,  0.00,  0,  0, 23.80, 30.60, -112.04, 27.27, -161.59, -4.47, -8.04, -3.26, 1
1061,  0.00,  0,  0, 23.80, 31.18, -112.14, 28.78, -163.95, -4.75, -8.00, -3.26, 1
2057,  0.00,  0,  0, 23.80, 30.77, -103.39, 12.28, -156.42, -1.84, -8.24, -1.96, 1
3053,  0.00,  1,  1, 23.80, 31.35, -104.09, 13.46, -148.61, -2.24, -9.06, -2.28, 1
4048,  0.00,  0,  1, 23.80, 31.69, -103.98, 21.86, -154.02, -3.65, -8.83, -2.20, 1
5044,  0.00,  0,  1, 23.80, 31.10, -124.91, 19.74, -156.01, -3.30, -7.53, -5.26, 1
6040,  0.00,  0,  1, 23.80, 31.35, -121.69, 21.77, -157.49, -3.61, -7.69, -4.75, 1
7036,  0.00,  0,  1, 23.80, 31.10, -119.53, 21.73, -159.16, -3.65, -7.96, -4.51, 1
8032,  0.01,  1,  2, 23.80, 30.68, -119.34, 22.39, -159.54, -3.73, -7.88, -4.43, 1
9028,  0.01,  0,  2, 23.80, 30.93, -118.57, 21.80, -156.72, -3.61, -7.92, -4.31, 1
10024,  0.01,  0,  2, 23.80, 30.85, -119.78, 21.45, -159.22, -3.57, -7.88, -4.51, 1
11019,  0.01,  0,  2, 23.80, 31.60, -119.22, 21.89, -160.21, -3.65, -7.92, -4.43, 1
12015,  0.01,  0,  2, 23.80, 31.27, -118.79, 21.76, -159.01, -3.61, -7.92, -4.35, 1
13011,  0.01,  0,  2, 23.80, 30.93, -119.99, 21.84, -159.50, -3.65, -7.88, -4.55, 1
14007,  0.01,  1,  3, 23.80, 31.18, -119.34, 21.97, -159.28, -3.65, -7.88, -4.43, 1
